,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YBL091C-A,272.805086463657,-0.0845845964287892,0.138312670230481,-0.61154626172598,0.540838001720757,0.851180784970507
YAR018C,504.736038409439,0.0671143806895317,0.110251005934436,0.608741662905489,0.54269568677856,0.851790231068327
YBR059C,1340.39096472488,0.0426112059810959,0.0700159483864565,0.60859285581481,0.542794341047403,0.851790231068327
YCR035C,1482.0229599347,-0.0412246007611244,0.0676982868037333,-0.608945997121614,0.542560234389111,0.851790231068327
YDR074W,2240.02382396142,0.0489584927428963,0.0803032752855423,0.609669936485277,0.542080473337192,0.851790231068327
YFR035C,36.0030894111331,0.202197312888515,0.332247083218834,0.608575133089544,0.542806091234194,0.851790231068327
YFR054C,14.0786159247782,-0.302650473277808,0.496047520827458,-0.610123950973397,0.541779701906243,0.851790231068327
YLR398C,1266.59759090973,0.0425949784244439,0.0697643030134847,0.610555493060838,0.541493895009193,0.851790231068327
YLR436C,894.954069769814,-0.0484777372219316,0.0794033854917496,-0.610524814801111,0.541514210491266,0.851790231068327
YOL065C,450.914493677582,-0.0595814924605302,0.0978157443299191,-0.609119655211844,0.542445130336765,0.851790231068327
YOR152C,161.353166817284,0.0974379102346908,0.159712855111257,0.610081825704106,0.54180760516997,0.851790231068327
YPL060W,154.834776925084,0.0953005639779222,0.156491498929558,0.608982370478924,0.542536124393181,0.851790231068327
YER147C,669.657747621139,0.0579607001890341,0.0954495848739326,0.607238892296778,0.543692385216796,0.852278436175601
YHR013C,780.610101569407,0.0666522006933045,0.109760819090465,0.607249483427871,0.543685357563361,0.852278436175601
YHR016C,737.269106586427,0.0513352100760863,0.0845206031316075,0.607369187796163,0.54360593190748,0.852278436175601
YOL110W,396.768026642119,-0.0744361478119585,0.122477236252094,-0.607754959940044,0.543350005559218,0.852278436175601
YPL007C,442.381837805499,-0.0627752647246551,0.103427172268076,-0.606951377941049,0.543883180146655,0.85235209114998
YJR094C,134.535039486024,-0.110030516427196,0.181374775573892,-0.606647291934866,0.544085008278937,0.852442993409796
YOR072W,3.07395084327,0.659536533883845,1.08764737449171,0.606388200212469,0.544257002159313,0.852487117282835
YBR267W,2410.03793791882,-0.0372306808783347,0.0617683467940425,-0.602746921533694,0.546677061919931,0.85263326108776
YCR014C,276.667471071335,0.074021885968299,0.122571991994799,0.603905384612173,0.545906548661981,0.85263326108776
YDL105W,200.617169684301,-0.0843830441322247,0.139377418573985,-0.605428375669277,0.54489440170971,0.85263326108776
YEL066W,206.211573563002,-0.0833107532958758,0.137746825151299,-0.604810696757391,0.54530478540864,0.85263326108776
YER069W,1099.1337606733,0.0501351942689511,0.0831067216991005,0.603262807676045,0.54633387086838,0.85263326108776
YFR006W,2286.59243458316,0.0368516035682435,0.0611283118878291,0.602856555827461,0.546604119241636,0.85263326108776
